Data,Vazao,Precipitacao
1983-09,88.00695999999999,248.24
1983-10,111.28895483870969,173.23
1983-11,106.39272666666668,165.38
1983-12,163.40646774193547,318.78000000000003
1984-01,118.27508387096773,188.25
1984-02,81.53743448275861,16.83
1984-03,79.01102903225807,116.65
1984-04,71.41047666666667,49.730000000000004
1984-05,58.67142903225807,28.35
1984-06,47.98760333333334,3.31
1984-07,45.889293548387094,12.35
1984-08,47.57250967741935,58.05
1984-09,54.42353,79.89
1984-10,43.04254838709677,70.95
1984-11,60.38470666666667,206.94
1984-12,107.8550935483871,288.61
1985-01,203.576764516129,485.21
1985-02,163.8012214285714,220.41
1985-03,199.75629032258064,332.59000000000003
1985-04,127.67433333333334,58.660000000000004
1985-05,92.50079677419355,17.56
1985-06,76.58475666666666,0.72
1985-07,65.35116774193548,1.42
1985-08,59.54837096774193,19.61
1985-09,60.39657333333333,102.28
1985-10,62.60901935483871,145.16
1985-11,85.37254666666666,240.12
1985-12,102.11066451612903,245.52
1986-01,146.29247096774193,231.47
1986-02,96.45954285714286,144.28
1986-03,84.01894838709677,122.39
1986-04,68.76133666666666,76.28
1986-05,59.24182258064516,42.95
1986-06,48.976016666666666,8.82
1986-07,49.842196774193546,42.53
1986-08,51.066845161290324,74.79
1986-09,37.35615666666667,11.35
1986-10,31.396935483870966,9.74
1986-11,46.01782333333333,182.12
1986-12,113.02179032258064,392.97
1987-01,122.92324193548387,180.2
1987-02,75.25047857142856,104.77
1987-03,101.55088064516129,217.49
1987-04,76.04106333333334,103.15
1987-05,63.63720322580645,70.2
1987-06,48.13520333333334,5.13
1987-07,42.788122580645165,19.119999999999997
1987-08,34.98174516129032,10.57
1987-09,46.697480000000006,94.83
1987-10,38.07446451612903,99.1
1987-11,59.82154666666667,147.38
1987-12,119.0103741935484,313.8
1988-01,119.46332258064515,238.31
1988-02,184.5364551724138,330.76
1988-03,96.18498064516129,99.05
1988-04,79.10438666666667,81.94
1988-05,63.38076129032258,34.92
1988-06,53.98252333333333,4.3
1988-07,47.70088064516129,0.0
1988-08,41.15279032258064,0.49000000000000005
1988-09,35.080220000000004,26.450000000000003
1988-10,51.549519354838715,127.24000000000001
1988-11,64.98611666666666,194.62
1988-12,91.5,258.53
1989-01,83.61697741935484,177.64
1989-02,88.37774285714285,203.5
1989-03,109.55825483870967,171.62
1989-04,59.76204,53.260000000000005
1989-05,46.34545483870968,7.01
1989-06,48.26756,62.37
1989-07,40.83908387096774,39.26
1989-08,36.95575483870968,8.74
1989-09,36.59753,139.18
1989-10,65.47450322580644,127.7
1989-11,72.8998,194.7
1989-12,122.20234838709678,273.37
1990-01,65.15804838709677,96.19
1990-02,57.42712857142857,178.49
1990-03,61.160225806451606,120.21
1990-04,58.464283333333334,62.7
1990-05,50.90312580645162,52.44
1990-06,37.713640000000005,1.67
1990-07,42.5790935483871,39.41
1990-08,37.9133806451613,24.810000000000002
1990-09,41.84443666666667,61.54
1990-10,36.302503225806454,67.36
1990-11,47.52800333333333,181.07
1990-12,49.771538709677415,131.35
1991-01,242.77762580645162,618.04
1991-02,155.2382857142857,206.92
1991-03,150.60782903225808,228.73
1991-04,121.17112333333333,70.99
